consultant,gloss,gloss_variant,session,scene,start,end
Liz,TWENTY,TWENTY+,ASL_2008_01_11,2,2635,2661
Tyler,TWENTY,TWENTY++,ASL_2008_05_12a,1,2400,2480
Naomi,TWENTY,TWENTY+,ASL_2008_08_04,1,2279,2353
Brady,TWENTY,TWENTY+,ASL_2011_06_08_Brady,5,5170,5198
Liz,ALONE,ALONE++,ASL_2008_02_01,35,3707,3782
Liz,ALONE,ALONE+,ASL_2008_02_29,32,2890,2936
Tyler,ALONE,ALONE+,ASL_2008_05_29b,9,3801,3830
Naomi,ALONE,ALONE++,ASL_2008_08_13,29,4065,4141
Brady,ALONE,ALONE++,ASL_2011_06_14_Brady,42,1430,1498
Brady,ALONE,ALONE+,ASL_2011_07_19_Brady,83,3186,3211
Lana,ALONE,ALONE+,ASL_2006_10_10,2,2076,2120
Dana,ALONE,ALONE+,ASL_2007_05_24,5,2431,2476
Liz,LONELY,LONELY+,ASL_2008_02_01,52,751,805
Tyler,LONELY,LONELY+,ASL_2008_06_10,4,845,902
Naomi,LONELY,LONELY+,ASL_2008_08_13_session2,7,540,575
Brady,LONELY,LONELY+,ASL_2011_06_14_Brady,51,80,119
Liz,BACHELOR,SINGLE,ASL_2008_02_29,32,2629,2675
Brady,BACHELOR,SINGLE,ASL_2011_07_19_Brady,83,2957,2992
Liz,BACHELOR,SWINGING-SINGLE,ASL_2008_02_29,32,3431,3525
Liz,BACHELOR,BACHELOR,ASL_2008_01_11,28,315,350
Tyler,BACHELOR,BACHELOR,ASL_2008_05_12a,18,1000,1025
Naomi,BACHELOR,BACHELOR,ASL_2008_08_04,18,1080,1105
Brady,BACHELOR,BACHELOR,ASL_2011_06_08_Brady,15,233,263
Liz,SOMETHING/ONE,SOMETHING/ONE,ASL_2008_02_29,38,1230,1272
Liz,ALWAYS,ALWAYS,ASL_2008_01_11,13,315,370
Tyler,ALWAYS,ALWAYS,ASL_2008_05_12a,10,1810,1850
Naomi,ALWAYS,ALWAYS,ASL_2008_08_04,9,1571,1635
Brady,ALWAYS,ALWAYS,ASL_2011_06_08_Brady,11,2592,2620
Liz,WAIT-A-MINUTE,WAIT-A-MINUTE,ASL_2008_03_28,34,375,412
Brady,WAIT-A-MINUTE,WAIT-A-MINUTE,ASL_2011_07_22_Brady,22,1647,1697
Liz,ONE,ONE,ASL_2008_01_11,4,2145,2185
Tyler,ONE,ONE,ASL_2008_05_12a,3,1325,1380
Brady,ONE,ONE,ASL_2011_06_08_Brady,4,4203,4214
Lana,ONE,ONE,ASL_2006_10_10,20,1338,1366
Dana,ONE,ONE,ASL_2007_05_24,22,1269,1277
Naomi,ONE,ONE_2,ASL_2008_08_04,3,1626,1650
Liz,A,A,ASL_2008_01_11,4,2345,2370
Tyler,A,A,ASL_2008_05_12a,3,1550,1600
Naomi,A,A,ASL_2008_08_04,3,1830,1850
Brady,A,A,ASL_2011_06_08_Brady,6,7024,7048
Liz,LITTLE-BIT,LITTLE-BIT,ASL_2008_01_11,4,3030,3056
Tyler,LITTLE-BIT,LITTLE-BIT++,ASL_2008_05_12a,3,1790,1850
Naomi,LITTLE-BIT,LITTLE-BIT,ASL_2008_08_04,3,2040,2066
Brady,LITTLE-BIT,LITTLE-BIT,ASL_2011_06_08_Brady,6,7322,7339
Liz,ABANDON,ABANDON,ASL_2008_01_11,5,180,206
Tyler,ABANDON,ABANDON,ASL_2008_05_12a,3,2227,2249
Brady,ABANDON,ABANDON,ASL_2011_06_08_Brady,6,7839,7854
Naomi,THROW-AWAY,THROW-AWAY,ASL_2008_08_04,3,2768,2786
Liz,ABORTION,ABORTION,ASL_2008_01_11,5,450,480
Naomi,ABORTION,ABORTION_2,ASL_2008_08_04,4,548,575
Liz,ABORTION,(1h)ABORTION,ASL_2010_08_10_Liz_additional_lexicon_signs,5,1098,1163
Tyler,ABORTION,(S)ABORTION,ASL_2008_05_12a,4,375,400
Liz,ABOVE,ABOVE,ASL_2008_01_11,5,1296,1325
Naomi,ABOVE,ABOVE_2,ASL_2008_08_04,4,2288,2317
