Main New Gloss Cat,Consultant,Main New Gloss,Gloss Variant,D Start HS,N-D Start HS,D End HS,N-D End HS,Passive Arm,Combined,Separate,Session,Scene,Start,End,Combined,Separate
============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
TWENTY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,TWENTY,TWENTY+,crvd-L,,flat-G,,N,,MOV,ASL_2008_01_11,2,2635,2661,,MOV
,Tyler,TWENTY,TWENTY++,L,,flat-G,,N,MOV,MOV,ASL_2008_05_12a,1,2400,2480,MOV,MOV
,Naomi,TWENTY,TWENTY+,L,,baby-O,,N,,MOV,ASL_2008_08_04,1,2279,2353,,MOV
,Brady,TWENTY,TWENTY+,L,,flat-G,,N,,MOV,ASL_2011_06_08_Brady,5,5170,5198,,MOV
ALONE,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,ALONE,ALONE++,1,,1,,N,,MOV,ASL_2008_02_01,35,3707,3782,,MOV
,Liz,ALONE,ALONE+,1,,1,,N,,MOV,ASL_2008_02_29,32,2890,2936,,MOV
,Tyler,ALONE,ALONE+,1,,1,,N,,MOV,ASL_2008_05_29b,9,3801,3830,,MOV
,Naomi,ALONE,ALONE++,1,,1,,N,MOV,MOV,ASL_2008_08_13,29,4065,4141,MOV,MOV
,Brady,ALONE,ALONE++,1,,1,,N,,MOV,ASL_2011_06_14_Brady,42,1430,1498,,MOV
,Brady,ALONE,ALONE+,1,,1,,N,,MOV,ASL_2011_07_19_Brady,83,3186,3211,,MOV
,Lana,ALONE,ALONE+,1,,1,,N,,MOV,ASL_2006_10_10,2,2076,2120,,MOV
,Dana,ALONE,ALONE+,1,,1,,N,,MOV,ASL_2007_05_24,5,2431,2476,,MOV
LONELY,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============,============
,Liz,LONELY,LONELY+,1,,1,,N,,MOV,ASL_2008_02_01,52,751,805,,MOV
